11553,6538
385294,22537
205,10
8763013,8
168,36
572,17
2102520,7
2102536,2
8763289,1
978695,9
299678,25
8763478,33
4826958,23
1768697,3
1975907,6
8764179,1
8764279,202
8764310,1
8764357,6
8764427,7379
2449843,11170
8764496,4
4142766,17
321738,1
3033167,3
2158,4
8764738,1
8764766,11
2470,1
2253941,20
27490,1510
1323475,26
8765312,222
2699,4128
13696,581
2629887,38
1952,37
897338,27
407711,233
8765786,6
21949,16
4966,8
5382,82
5001,440
8765883,1
5777,12
8419049,124
1239512,139
6146,269
6359,37
6694,11
651291,65
445310,14
5167,228
8185,106
3091780,2
8338,72
433089,89
2463840,31
8766087,1
9298,145
9519,375
9801,1183
9749,248
547735,103
8766139,2
9945,17
5234,233
10338,18
8766205,1
8766274,13
5016,12
7660,10
11743,418
8766351,1
12066,11
11750,29
9306,23
10746,12
2624772,42
12460,96
3057877,1478
8766644,1
5020690,509
895866,58
207322,28
12903,2
8766907,53
5416626,11
2895005,240
5978452,5919
1730143,14
13264,203
8767083,78
6125663,51
13545,14
1540413,13
13794,53
8767659,11
15128,5
8767740,10
8767840,96
8767851,27
8767871,59
8767932,6
221621,725
3044654,4
6342020,121
6813673,6
8768564,1
8768597,1
6688844,5
8768673,8
20677,25
15896,1094
16597,133
16745,169
16981,32
5549726,25
1180484,6
8769259,27
64176,30
561753,70
8769615,143
8769637,101
8769750,16
8769773,6
8769893,1
18253,44
3990652,4
18585,3
18774,18
8770222,1
8770269,152
8770499,30
1989612,5
709379,56
1352134,208
8771068,1
552236,268
19097,58
33065,219
407380,142
1551348,305
584079,36
8771447,94
19601,1
99019,63
63064,12
2256089,4
322079,1
1880208,3
1023800,5
21348,1
26035,147
568426,41
8772109,1
2523555,23
7878164,2199
8772576,8
8772587,7
30534,10
30559,1
1215980,7
8772960,1
3902385,5
8773039,1
30549,1
449047,5183
550325,94
8540725,3
31510,71
31538,3
8773596,169
1553464,124
8773819,4
8773881,15
8773931,1
31735,1
2561081,26
5464911,46
42991,34
49421,1
32062,1
32134,2
32517,33
33426,198
8774508,5
5037889,6
34014,15
287247,2
435369,35
34131,84
34212,8
8774834,13
34487,1
387374,30
35652,1
35672,1
8775250,2
8775383,6
1891643,9
993754,30
8775715,4
8775723,13
1905102,117
35986,142
36035,7
8775792,20
1278098,6
34539,27
1536451,19
88995,281
8775876,1
258439,3897
7949558,2
4238490,6
36420,6
8776051,1
8776124,67
8776389,5
8776403,9
8776497,1
8776562,10
8776602,8
8776642,12
8777022,3
2550026,145
8777172,62
228436,253
8777332,144
8777368,381
5421146,2
8777431,4
36983,1
37351,4
8777776,2
3439296,4
590466,81
8777874,2
4725561,49
38105,44
38102,57
8778103,1
8778165,2
5613883,1
1403869,34
8778311,67
8778380,2
4505109,59
8778490,3
786120,97
1917589,12
39316,3
39394,1
8778943,253
44760,91
8779069,1
4416931,4
8779203,1
8779405,1
39545,7
59296,47
525440,13
2129912,95
1534804,60
40250,1
8780071,38
2463537,2
40437,4
8780188,8
136661,12
672530,23
40599,1
8780449,4
8780465,4
597848,23
530498,7
41020,3
597039,40
1924004,66
8780572,1
8780741,2
41416,1
1529134,9
3360105,28
42105,6
42100,39
42045,7
42041,6
42038,2
42379,111
8781182,3
4741019,26
1128530,4
43178,2
8781676,1
3217205,20
5391703,4
43565,183
3684510,28
44178,1
44087,122
44106,17
44621,4
8782940,7
7406619,5
290222,41
573243,33
619438,85
45529,356
3437624,2
8783485,1
45843,360
46012,5
46393,50
46714,3
46756,505
47153,200
47685,1
48362,1
2710387,1
359189,3
48976,1
70971,33
1026853,69
52351,4115
52407,300
53165,41
979244,31
53249,1
53626,3
54365,322
54568,315
54530,48
291224,197
54926,163
5334089,6
55061,21
8766268,4
2341469,39
665337,515
8767367,1149
16327,110
248876,89
1951580,139
381614,152
115053,7
8771482,3
19703,16
8771642,1
3002839,19
381020,8
1723827,3
8773724,1
8773930,1
8774375,1
34030,1
3030921,29
131117,9
250492,236
8777297,1
1566222,9
1166857,18
1082456,125
8778740,1
39642,4
39711,707
294633,93
527782,11
8780425,3
6322078,1
41394,5
42095,6
8781165,76
43193,2
2769240,30
1431893,88
654334,73
8781951,1
1299417,77
2782139,16
1432203,6
44656,1
7113634,2
